time_s,eda_uS,phase
54.0,10.16,stroking
54.1,10.13,stroking
54.2,10.13,stroking
54.3,10.18,stroking
54.4,10.08,stroking
54.5,10.21,stroking
54.6,10.13,stroking
54.7,10.18,stroking
54.8,10.16,stroking
54.9,10.13,stroking
55.0,10.21,stroking
55.1,10.21,stroking
55.2,10.18,stroking
55.3,10.21,stroking
55.4,10.23,stroking
55.5,10.18,stroking
55.6,10.25,stroking
55.7,10.23,stroking
55.8,10.25,stroking
55.9,10.3,stroking
56.0,10.23,stroking
56.1,10.3,stroking
56.2,10.3,stroking
56.3,10.4,stroking
56.4,10.33,stroking
56.5,10.38,stroking
56.6,10.38,stroking
56.7,10.4,stroking
56.8,10.45,stroking
56.9,10.5,stroking
57.0,10.55,stroking
57.1,10.47,stroking
57.2,10.55,stroking
57.3,10.52,stroking
57.4,10.55,stroking
57.5,10.57,stroking
57.6,10.55,stroking
57.7,10.62,stroking
57.8,10.57,stroking
57.9,10.64,stroking
58.0,10.52,stroking
58.1,10.69,stroking
58.2,10.64,stroking
58.3,10.67,stroking
58.4,10.69,stroking
58.5,10.77,stroking
58.6,10.69,stroking
58.7,10.64,stroking
58.8,10.77,stroking
58.9,10.79,stroking
59.0,10.74,stroking
59.1,10.82,stroking
59.2,10.94,stroking
59.3,10.84,stroking
59.4,11.04,stroking
59.5,10.84,stroking
59.6,10.94,stroking
59.7,10.91,stroking
59.8,10.82,stroking
59.9,11.01,stroking
60.0,10.94,stroking
60.1,11.06,stroking
60.2,10.94,stroking
60.3,10.96,stroking
60.4,11.08,stroking
60.5,10.91,stroking
60.6,11.11,stroking
60.7,10.82,stroking
60.8,11.11,stroking
60.9,11.01,stroking
61.0,11.01,stroking
61.1,11.11,stroking
61.2,11.16,stroking
61.3,11.13,stroking
61.4,10.84,stroking
61.5,11.11,stroking
61.6,10.99,stroking
61.7,11.01,stroking
61.8,11.11,stroking
61.9,11.11,stroking
62.0,11.11,stroking
62.1,10.94,stroking
62.2,11.16,stroking
62.3,11.13,stroking
62.4,11.11,stroking
62.5,11.08,stroking
62.6,11.16,stroking
62.7,11.11,stroking
62.8,11.04,stroking
62.9,11.08,stroking
63.0,11.08,stroking
63.1,11.13,stroking
63.2,11.04,stroking
63.3,11.11,stroking
63.4,10.99,stroking
63.5,11.18,stroking
63.6,10.96,stroking
63.7,10.96,stroking
63.8,11.18,stroking
63.9,10.91,stroking
64.0,11.08,stroking
64.1,10.89,stroking
64.2,11.11,stroking
64.3,11.01,stroking
64.4,10.94,stroking
64.5,11.01,stroking
64.6,10.96,stroking
64.7,11.04,stroking
64.8,10.74,stroking
64.9,11.01,stroking
65.0,10.94,stroking
65.1,10.86,stroking
65.2,10.77,stroking
65.3,10.86,stroking
65.4,10.84,stroking
65.5,10.6,stroking
65.6,10.74,stroking
65.7,10.72,stroking
65.8,10.62,stroking
65.9,10.45,stroking
66.0,10.74,stroking
66.1,10.64,stroking
66.2,10.62,stroking
66.3,10.55,stroking
66.4,10.52,stroking
66.5,10.57,stroking
66.6,10.35,stroking
66.7,10.5,stroking
66.8,10.45,stroking
66.9,10.38,stroking
67.0,10.33,stroking
67.1,10.33,stroking
67.2,10.33,stroking
67.3,10.13,stroking
67.4,10.18,stroking
67.5,10.06,stroking
67.6,10.16,stroking
67.7,10.01,stroking
67.8,10.03,stroking
67.9,10.03,stroking
68.0,9.91,stroking
68.1,9.94,stroking
68.2,9.74,stroking
68.3,9.81,stroking
68.4,9.67,stroking
68.5,9.69,stroking
68.6,9.62,stroking
68.7,9.52,stroking
68.8,9.45,stroking
68.9,9.25,stroking
69.0,9.4,stroking
69.1,9.25,stroking
69.2,9.37,stroking
69.3,9.28,stroking
69.4,9.2,stroking
69.5,9.2,stroking
69.6,9.13,stroking
69.7,9.11,stroking
69.8,9.08,stroking
69.9,8.98,stroking
70.0,8.91,stroking
70.1,8.96,stroking
70.2,8.89,stroking
70.3,8.89,stroking
70.4,8.69,stroking
70.5,8.72,stroking
70.6,8.72,stroking
70.7,8.59,stroking
70.8,8.64,stroking
70.9,8.35,stroking
71.0,8.57,stroking
71.1,8.35,stroking
71.2,8.33,stroking
71.3,8.4,stroking
71.4,8.35,stroking
71.5,8.2,stroking
71.6,7.84,stroking
71.7,8.23,stroking
71.8,7.93,stroking
71.9,7.98,stroking
72.0,7.86,stroking
72.1,8.08,stroking
72.2,7.93,stroking
72.3,7.98,stroking
72.4,7.91,stroking
72.5,7.79,stroking
72.6,7.89,stroking
72.7,7.54,stroking
72.8,7.84,stroking
72.9,7.84,stroking
73.0,7.69,stroking
73.1,7.79,stroking
73.2,7.64,stroking
73.3,7.76,stroking
73.4,7.42,stroking
73.5,7.71,stroking
73.6,7.62,stroking
73.7,7.84,stroking
73.8,7.45,stroking
73.9,7.67,stroking
74.0,7.71,stroking
74.1,7.52,stroking
74.2,7.64,stroking
74.3,7.28,stroking
74.4,7.71,stroking
74.5,7.64,stroking
74.6,7.52,stroking
74.7,7.74,stroking
74.8,7.81,stroking
74.9,7.79,stroking
75.0,7.59,stroking
75.1,7.89,stroking
75.2,7.84,stroking
75.3,7.79,stroking
75.4,7.79,stroking
75.5,7.91,stroking
75.6,7.93,stroking
75.7,7.74,stroking
75.8,7.98,stroking
75.9,8.03,stroking
76.0,8.08,stroking
76.1,8.06,stroking
76.2,8.15,stroking
76.3,8.11,stroking
76.4,8.2,stroking
76.5,8.18,stroking
76.6,8.28,stroking
76.7,8.23,stroking
76.8,8.3,stroking
76.9,8.5,stroking
77.0,8.54,stroking
77.1,8.54,stroking
77.2,8.59,stroking
77.3,8.54,stroking
77.4,8.76,stroking
77.5,8.57,stroking
77.6,8.76,stroking
77.7,8.76,stroking
77.8,8.76,stroking
77.9,8.81,stroking
78.0,8.76,stroking
78.1,8.91,stroking
78.2,8.89,stroking
78.3,9.03,stroking
78.4,8.94,stroking
78.5,9.08,stroking
78.6,8.98,stroking
78.7,9.06,stroking
78.8,9.25,stroking
78.9,9.25,stroking
79.0,9.23,stroking
79.1,9.13,stroking
79.2,9.35,stroking
79.3,9.28,stroking
79.4,9.42,stroking
79.5,9.42,stroking
79.6,9.5,stroking
79.7,9.57,stroking
79.8,9.47,stroking
79.9,9.67,stroking
80.0,9.67,stroking
80.1,9.77,stroking
80.2,9.57,stroking
80.3,9.81,stroking
80.4,9.84,stroking
80.5,9.99,stroking
80.6,9.74,stroking
80.7,9.89,stroking
80.8,10.03,stroking
80.9,9.84,stroking
81.0,9.91,stroking
81.1,9.74,stroking
81.2,10.06,stroking
81.3,9.91,stroking
81.4,9.91,stroking
81.5,9.99,stroking
81.6,10.01,stroking
81.7,9.99,stroking
81.8,9.72,stroking
81.9,9.99,stroking
82.0,9.96,stroking
82.1,9.94,stroking
82.2,9.99,stroking
82.3,10.06,stroking
82.4,10.01,stroking
82.5,9.86,stroking
82.6,10.06,stroking
82.7,10.01,stroking
82.8,9.91,stroking
82.9,9.57,stroking
83.0,9.96,stroking
83.1,9.96,stroking
83.2,9.94,stroking
83.3,9.79,stroking
83.4,9.84,stroking
83.5,9.84,stroking
83.6,9.72,stroking
83.7,9.81,stroking
83.8,9.72,stroking
83.9,9.74,stroking
84.0,9.45,stroking
84.1,9.55,stroking
84.2,9.67,stroking
84.3,9.52,stroking
84.4,9.64,stroking
84.5,9.52,stroking
84.6,9.59,stroking
84.7,9.37,stroking
84.8,9.42,stroking
84.9,9.5,stroking
