participant,direction,control,log_file,seq_time,first_log_time,last_log_time,stroking_delay_s,stroking_duration_s,eda_file,eda_button_index,eda_button_time,eda_button_sample,eda_stroking_start_sample,eda_stroking_end_sample,time_diff_s,match_quality
S12,orthogonal,PID,20260313_154434_raw.log,15:44:40,15:44:54,15:45:22,13.8,28.6,opensignals_98D3C1FE03C0_15-19-59_converted.txt,2,15:44:40,2518,2656,2942,0.4,GOOD
S12,parallel,FF+PID,20260313_160011_raw.log,16:00:44,16:00:58,16:02:38,14.5,99.1,opensignals_98D3C1FE03C0_15-19-59_converted.txt,3,16:00:44,12157,12302,13293,0.4,GOOD
S12,parallel,PID,20260313_160412_raw.log,16:04:18,16:04:32,16:06:11,13.8,99.2,opensignals_98D3C1FE03C0_15-19-59_converted.txt,4,16:04:18,14302,14440,15432,0.3,GOOD
S13,parallel,FF+PID,20260313_170035_raw.log,17:00:46,17:01:00,17:02:39,14.2,99.3,opensignals_98D3C1FE03C0_16-35-35_converted.txt,2,17:00:45,10044,10186,11179,0.4,GOOD
S13,parallel,PID,20260313_170547_raw.log,17:05:54,17:06:08,17:07:47,13.8,99.0,opensignals_98D3C1FE03C0_16-35-35_converted.txt,4,17:05:54,13134,13272,14262,0.4,GOOD
S13,orthogonal,PID,20260313_172210_raw.log,17:23:30,17:23:44,17:24:12,13.8,28.3,opensignals_98D3C1FE03C0_16-35-35_converted.txt,6,17:23:30,23691,23829,24112,0.4,GOOD
S13,orthogonal,FF+PID,20260313_172926_raw.log,17:29:34,17:29:49,17:30:18,14.4,28.7,opensignals_98D3C1FE03C0_16-35-35_converted.txt,8,17:29:34,27333,27477,27764,0.4,GOOD
S14,orthogonal,PID,20260317_115636_raw.log,11:57:27,11:57:41,11:58:09,13.8,28.3,opensignals_98D3C1FE03C0_11-18-57_converted.txt,2,11:57:27,8404,8542,8825,0.2,GOOD
S14,orthogonal,FF+PID,20260317_115929_raw.log,11:59:36,11:59:51,12:00:19,14.4,28.7,opensignals_98D3C1FE03C0_11-18-57_converted.txt,3,11:59:36,9701,9845,10132,0.0,GOOD
S14,parallel,FF+PID,20260317_121728_raw.log,12:17:38,12:17:52,12:19:33,14.0,100.4,opensignals_98D3C1FE03C0_11-18-57_converted.txt,4,12:17:38,20520,20660,21664,0.0,GOOD
S14,parallel,PID,20260317_122110_raw.log,12:21:18,12:21:32,12:23:12,13.8,100.2,opensignals_98D3C1FE03C0_11-18-57_converted.txt,5,12:21:18,22716,22854,23856,0.1,GOOD
S15,parallel,PID,20260317_125646_raw.log,12:56:57,12:57:11,12:58:50,13.8,99.0,opensignals_98D3C1FE03C0_12-40-33_converted.txt,1,12:56:57,9767,9905,10895,0.2,GOOD
S15,parallel,FF+PID,20260317_125950_raw.log,12:59:54,13:00:08,13:01:48,14.2,99.4,opensignals_98D3C1FE03C0_12-40-33_converted.txt,2,12:59:53,11528,11670,12664,0.8,GOOD
S15,orthogonal,PID,20260317_131341_raw.log,13:13:51,13:14:05,13:14:34,13.8,28.5,opensignals_98D3C1FE03C0_12-40-33_converted.txt,3,13:13:51,19907,20045,20330,0.1,GOOD
S15,orthogonal,FF+PID,20260317_131510_raw.log,13:15:25,13:15:40,13:16:08,14.6,28.4,opensignals_98D3C1FE03C0_12-40-33_converted.txt,4,13:15:25,20846,20992,21276,0.1,GOOD
